2024-11-10 00:10:48,938 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Configure stats pid to 10190
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Loading settings from /Users/om/.config/wandb/settings
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Loading settings from /Users/om/YOLOv8 training/wandb/settings
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'src/train.py', 'program_abspath': '/Users/om/YOLOv8 training/src/train.py', 'program': '/Users/om/YOLOv8 training/src/train.py'}
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_init.py:_log_setup():533] Logging user logs to /Users/om/YOLOv8 training/wandb/run-20241110_001048-9upthy66/logs/debug.log
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/om/YOLOv8 training/wandb/run-20241110_001048-9upthy66/logs/debug-internal.log
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_init.py:init():619] calling init triggers
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_init.py:init():669] starting backend
2024-11-10 00:10:48,939 INFO    MainThread:10190 [wandb_init.py:init():673] sending inform_init request
2024-11-10 00:10:48,941 INFO    MainThread:10190 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-10 00:10:48,942 INFO    MainThread:10190 [wandb_init.py:init():686] backend started and connected
2024-11-10 00:10:48,945 INFO    MainThread:10190 [wandb_init.py:init():781] updated telemetry
2024-11-10 00:10:48,946 INFO    MainThread:10190 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-10 00:10:49,848 INFO    MainThread:10190 [wandb_init.py:init():867] starting run threads in backend
2024-11-10 00:10:49,914 INFO    MainThread:10190 [wandb_run.py:_console_start():2451] atexit reg
2024-11-10 00:10:49,915 INFO    MainThread:10190 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-10 00:10:49,915 INFO    MainThread:10190 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-10 00:10:49,915 INFO    MainThread:10190 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-10 00:10:49,916 INFO    MainThread:10190 [wandb_init.py:init():911] run started, returning control to user process
2024-11-10 00:10:50,612 WARNING MsgRouterThr:10190 [router.py:message_loop():75] message_loop has been closed
